data;hora ;bairro_origem;bairro_destino;valor ;distância_km
17/03/2026;08:10;Portão;Água Verde;8.2;2,5
17/03/2026;08:20;Portão;Água Verde;7.5;2,7
17/03/2026;08:42;Guaíra;Água Verde;6.8;2,7
17/03/2026;08:52;Água Verde;Água Verde;6.5;1,8
17/03/2026;09:02;Água Verde;Água Verde;6.5;2,7
17/03/2026;09:20;Guaíra;Rebouças;6.5;0,7
17/03/2026;09:39;Água Verde;Portão;6.6;1,6
17/03/2026;09:51;Portão;Guaíra;8.6;3,9
18/03/2026;07:38;Novo Mundo;Novo Mundo;11.2;0,9
18/03/2026;07:46;Novo Mundo;Novo Mundo;9.00;0,9
18/03/2026;07:54;Fanny;Parolin;11.9;3,4
18/03/2026;08:07;Parolin;Água Verde;7.1;4,3
18/03/2026;08:18;Água Verde;Água Verde;6.5;1,5
18/03/2026;08:27;Água Verde;Novo Mundo;11.1;6,5
18/03/2026;08:35;Novo Mundo;Fazendinha;6.6;2,6
18/03/2026;08:52;Fazendinha;Portão;8,7;3,7
18/03/2026;09:09;Novo Mundo;Portão;7.6;2,8
18/03/2026;09:20;Rebouças;Novo Mundo;6.6;1,7
18/03/2026;09:27;Novo Mundo;Novo Mundo;6.5;1,6
18/03/2026;09:39;Novo Mundo;Capão Raso;6.9;3
18/03/2026;10:00;Capão Raso;Portão;8.3;3,9
19/03/2026;07:32;Capão Raso;Xaxim;8.5;2,3
19/03/2026;07:41;Xaxim;Xaxim;8.7;1,1
19/03/2026;07:46;Xaxim;Xaxim;8.3;1,7
19/03/2026;08:08;Pinheirinho;Xaxim;8.2;0,8
19/03/2026;08:15;Pinheirinho;Sitio Cercado;7.59;1,9
19/03/2026;08:28;Sitio Cercado;Xaxim;6.6;1,8
19/03/2026;08:31;Xaxim;Xaxim;6.9;2,8
19/03/2026;08:45;Pinheirinho;Boqueirão;8.7;3,8
19/03/2026;08:55;Alto Boqueirão;Hauer;7.3;3,3
19/03/2026;09:12;Boqueirão ;Xaxim;6.5;3,2
19/03/2026;09:26;Xaxim;Hauer;12.5;5
19/03/2026;09:38;Hauer;Xaxim;6.5;2,7
19/03/2026;09:45;Boqueirão ;Hauer;6.5;2,8
19/03/2026;10:00;Vila Izabel;Hauer;6.5;1,5
20/03/2026;07:40;Lindóia;Lindóia;16.7;4,4
20/03/2026;07:55;Novo Mundo;Portão;9.9;2,8
20/03/2026;08:05;Portão;Água Verde;6.6;2,4
20/03/2026;08:15;Portão;Guaíra;6.5;2,6
20/03/2026;08:30;Guaíra;Água Verde;7.6;3,6
20/03/2026;08:38;Água Verde;Rebouças;6.5;2,2
20/03/2026;08:58;Água Verde;Parolin;7.3;2,1
20/03/2026;09:06;Rebouças;Água Verde;6.5;1,6
20/03/2026;09:13;Água Verde;Água Verde;6.5;2,2
20/03/2026;09:24;Água Verde;Água Verde;6.7;2,4
20/03/2026;09:37;Água Verde;Guaíra;6.5;1,8
20/03/2026;09:41;Água Verde;Água Verde;6.8;3
20/03/2026;09:55;Guaíra;Guaíra;6.5;1,1
23/03/2026;07:35;Novo Mundo;Parolin;12.5;2,9
23/03/2026;07:40;Parolin;Novo Mundo;9.7;2,8
23/03/2026;07:53;Lindóia;Novo Mundo;13.1;2,1
23/03/2026;08:06;Capão Raso;Novo Mundo;7.70;1,4
23/03/2026;08:18;Portão;Água Verde;6.9;2,7
23/03/2026;08:35;Guaíra;Água Verde;7.6;2,7
23/03/2026;08:46;Centro;Água Verde;7.4;0,9
23/03/2026;08:55;Rebouças;Água Verde;6.5;1,5
23/03/2026;09:08;Guaíra;Água Verde;6.6;2,7
23/03/2026;09:22;Água Verde;Água Verde;6.7;1,3
23/03/2026;09:29;Água Verde;Água Verde;6.5;2,3
24/03/2026;07:22;Portão;Guaíra;10.4;1,9
24/03/2026;07:31;Guaíra;Água Verde;6.6;1,6
24/03/2026;07:36;Água Verde;Prado Velho;10.7;3,6
24/03/2026;07:53;Prado Velho;Prado Velho;6.9;1,8
24/03/2026;08:06;Parolin;Centro;8.2;3,6
24/03/2026;08:21;Água Verde;Santa Quitéria;8.00;2,7
24/03/2026;08:34;Vila Izabel;Parolin;11.97;6,2
24/03/2026;09:00;Rebouças;Rebouças;6.5;1,4
24/03/2026;09:05;Rebouças;Rebouças;6.6;2
24/03/2026;09:26;Rebouças;Parolin;6.5;2,6
24/03/2026;09:32;Guaíra;Água Verde;6.5;2,3
24/03/2026;09:46;Água Verde;Água Verde;6.5;2,7
24/03/2026;09:57;Água Verde;Guaíra;6.5;3,7
25/03/2026;07:47;Fanny;Fanny;12.2;1,4
25/03/2026;07:59;Lindóia;Guaíra;6.7;1,9
25/03/2026;08:09;Parolin;Água Verde;6.9;3,3
