data;periodo;horario;faixa_horaria;bairro_origem;regional_origem;bairro_destino;valor_corrida;distancia_km;faixa_distancia
12/03/2026;manhã;07:48;07h;Novo Mundo;Portão;Novo Mundo;18,3;3,1;Média
12/03/2026;manhã;07:38;07h;Capão Raso;Pinheirinho;Vila Izabel;10,1;2,1;Média
12/03/2026;manhã;07:57;07h;Guaíra;Portão;Água Verde;10;2,4;Média
12/03/2026;manhã;08:34;08h;Água Verde;Portão;Água Verde;6,9;1,9;Curta
12/03/2026;manhã;10:00;10h;Água Verde;Portão;Novo Mundo;6,9;2,3;Média
12/03/2026;manhã;09:24;09h;Guaíra;Portão;Água Verde;6,9;1,6;Curta
12/03/2026;manhã;08:09;08h;Água Verde;Portão;Lindóia;6,6;1,8;Curta
12/03/2026;manhã;08:44;08h;Água Verde;Portão;Água Verde;6,6;2,5;Média
12/03/2026;manhã;09:46;09h;Guaíra;Portão;Vila Izabel;6,6;2,1;Média
12/03/2026;manhã;08:25;08h;Água Verde;Portão;Água Verde;6,5;1,8;Curta
12/03/2026;manhã;09:08;09h;Água Verde;Portão;Guaíra;6,5;1,4;Curta
12/03/2026;manhã;09:17;09h;Água Verde;Portão;Portão;6,5;2,1;Média
12/03/2026;manhã;08:59;08h;Fanny;Portão;Guaíra;6,5;2,4;Média
12/03/2026;manhã;09:40;09h;Portão;Portão;Água Verde;6,5;2;Curta
13/03/2026;manhã;07:27;07h;Novo Mundo;Portão;Hauer;15,35;4,2;Longa
13/03/2026;manhã;07:50;07h;Guaíra;Portão;Alto da XV;12,1;3,1;Média
13/03/2026;manhã;09:06;09h;São Francisco;Matriz;Alto da Glória;9,1;2,8;Média
13/03/2026;manhã;08:42;08h;Centro;Matriz;Cristo Rei;7,9;3,1;Média
13/03/2026;manhã;09:16;09h;Cristo Rei;Matriz;Rebouças;6,8;1,4;Curta
13/03/2026;manhã;08:16;08h;Água Verde;Portão;São Francisco;6,6;2,8;Média
13/03/2026;manhã;09:33;09h;Centro;Matriz;Alto da XV;6,6;1,8;Curta
13/03/2026;manhã;09:44;09h;Centro;Matriz;Água Verde;6,5;2,2;Média
13/03/2026;manhã;08:01;08h;Guaíra;Portão;Centro;6,5;2,8;Média
13/03/2026;manhã;09:24;09h;Juvevê;Matriz;Centro;6,5;2,1;Média
13/03/2026;manhã;08:33;08h;Rebouças;Matriz;Jardim das Américas;6,5;2,2;Média
16/03/2026;manhã;07:34;07h;Guaíra;Portão;Batel;38,01;6,2;Longa
16/03/2026;manhã;07:56;07h;Cajuru;Cajuru;Cristo Rei;34,8;8;Longa
16/03/2026;manhã;08:51;08h;Centro;Matriz;Água Verde;9,8;4,4;Longa
16/03/2026;manhã;09:24;09h;Jardim Botânico;Matriz;Portão;9,4;3,9;Média
16/03/2026;manhã;09:55;09h;Água Verde;Portão;Jardim Botânico;7,98;2,7;Média
16/03/2026;manhã;09:14;09h;Cristo Rei;Matriz;Centro;7,15;2;Curta
16/03/2026;manhã;08:38;08h;Centro;Matriz;Novo Mundo;6,6;1,3;Curta
17/03/2026;manhã;07:42;07h;Novo Mundo;Portão;Cidade Industrial de Curitiba;11,3;2,8;Média
17/03/2026;manhã;07:54;07h;Novo Mundo;Portão;Guaíra;9,9;2,5;Média
17/03/2026;manhã;09:51;09h;Portão;Portão;Água Verde;8,6;3,9;Média
17/03/2026;manhã;08:10;08h;Portão;Portão;Água Verde;8,2;2,5;Média
17/03/2026;manhã;08:20;08h;Portão;Portão;Água Verde;7,5;2,7;Média
17/03/2026;manhã;08:42;08h;Guaíra;Portão;Portão;6,8;2,7;Média
17/03/2026;manhã;09:39;09h;Água Verde;Portão;Água Verde;6,6;1,6;Curta
17/03/2026;manhã;08:52;08h;Água Verde;Portão;Água Verde;6,5;1,8;Curta
17/03/2026;manhã;09:02;09h;Água Verde;Portão;Fazendinha;6,5;2,7;Média
17/03/2026;manhã;08:04;08h;Cidade Industrial de Curitiba;CIC;Rebouças;6,5;2,6;Média
17/03/2026;manhã;09:20;09h;Guaíra;Portão;Parolin;6,5;0,7;Curta
18/03/2026;manhã;07:54;07h;Fanny;Portão;Novo Mundo;11,9;3,4;Média
18/03/2026;manhã;07:38;07h;Novo Mundo;Portão;Novo Mundo;11,2;0,9;Curta
18/03/2026;manhã;08:27;08h;Água Verde;Portão;Novo Mundo;11,1;6,5;Longa
18/03/2026;manhã;07:46;07h;Novo Mundo;Portão;Portão;9;0,9;Curta
18/03/2026;manhã;08:52;08h;Fazendinha;Portão;Portão;8,7;3,7;Média
18/03/2026;manhã;10:00;10h;Capão Raso;Pinheirinho;Portão;8,3;3,9;Média
18/03/2026;manhã;09:09;09h;Novo Mundo;Portão;Água Verde;7,6;2,8;Média
18/03/2026;manhã;08:07;08h;Parolin;Portão;Capão Raso;7,1;4,3;Longa
18/03/2026;manhã;09:39;09h;Novo Mundo;Portão;Fazendinha;6,9;3;Média
18/03/2026;manhã;08:35;08h;Novo Mundo;Portão;Novo Mundo;6,6;2,6;Média
18/03/2026;manhã;09:20;09h;Rebouças;Matriz;Água Verde;6,6;1,7;Curta
18/03/2026;manhã;08:18;08h;Água Verde;Portão;Novo Mundo;6,5;1,5;Curta
18/03/2026;manhã;09:27;09h;Novo Mundo;Portão;Hauer;6,5;1,6;Curta
19/03/2026;manhã;09:26;09h;Xaxim;Boqueirão;Boqueirão;12,5;5;Longa
19/03/2026;manhã;08:45;08h;Pinheirinho;Pinheirinho;Xaxim;8,7;3,8;Média
19/03/2026;manhã;07:41;07h;Xaxim;Boqueirão;Xaxim;8,7;1,1;Curta
19/03/2026;manhã;07:32;07h;Capão Raso;Pinheirinho;Xaxim;8,5;2,3;Média
19/03/2026;manhã;07:46;07h;Xaxim;Boqueirão;Xaxim;8,3;1,7;Curta
19/03/2026;manhã;08:08;08h;Pinheirinho;Pinheirinho;Sítio Cercado;8,2;0,8;Curta
19/03/2026;manhã;08:15;08h;Pinheirinho;Pinheirinho;Hauer;7,59;1,9;Curta
19/03/2026;manhã;08:55;08h;Alto Boqueirão;Boqueirão;Xaxim;7,3;3,3;Média
19/03/2026;manhã;08:31;08h;Xaxim;Boqueirão;Xaxim;6,9;2,8;Média
19/03/2026;manhã;08:28;08h;Sítio Cercado;Bairro Novo;Xaxim;6,6;1,8;Curta
19/03/2026;manhã;09:12;09h;Boqueirão;Boqueirão;Hauer;6,5;3,2;Média
19/03/2026;manhã;09:45;09h;Boqueirão;Boqueirão;Xaxim;6,5;2,8;Média
19/03/2026;manhã;09:38;09h;Hauer;Boqueirão;Hauer;6,5;2,7;Média
19/03/2026;manhã;10:00;10h;Vila Izabel;Portão;Lindóia;6,5;1,5;Curta
20/03/2026;manhã;07:40;07h;Lindóia;Portão;Portão;16,7;4,4;Longa
20/03/2026;manhã;07:55;07h;Novo Mundo;Portão;Água Verde;9,9;2,8;Média
20/03/2026;manhã;08:30;08h;Guaíra;Portão;Parolin;7,6;3,6;Média
20/03/2026;manhã;08:58;08h;Água Verde;Portão;Água Verde;7,3;2,1;Média
20/03/2026;manhã;09:41;09h;Água Verde;Portão;Água Verde;6,8;3;Média
20/03/2026;manhã;09:24;09h;Água Verde;Portão;Água Verde;6,7;2,4;Média
20/03/2026;manhã;08:05;08h;Portão;Portão;Rebouças;6,6;2,4;Média
20/03/2026;manhã;08:38;08h;Água Verde;Portão;Água Verde;6,5;2,2;Média
20/03/2026;manhã;09:13;09h;Água Verde;Portão;Guaíra;6,5;2,2;Média
20/03/2026;manhã;09:37;09h;Água Verde;Portão;Guaíra;6,5;1,8;Curta
20/03/2026;manhã;09:55;09h;Guaíra;Portão;Guaíra;6,5;1,1;Curta
20/03/2026;manhã;08:15;08h;Portão;Portão;Água Verde;6,5;2,6;Média
20/03/2026;manhã;09:06;09h;Rebouças;Matriz;Novo Mundo;6,5;1,6;Curta
23/03/2026;manhã;07:53;07h;Lindóia;Portão;Parolin;13,1;2,1;Média
23/03/2026;manhã;07:35;07h;Novo Mundo;Portão;Novo Mundo;12,5;2,9;Média
23/03/2026;manhã;07:40;07h;Parolin;Portão;Novo Mundo;9,7;2,8;Média
23/03/2026;manhã;08:06;08h;Capão Raso;Pinheirinho;Água Verde;7,7;1,4;Curta
23/03/2026;manhã;08:35;08h;Guaíra;Portão;Água Verde;7,6;2,7;Média
23/03/2026;manhã;08:46;08h;Centro;Matriz;Água Verde;7,4;0,9;Curta
23/03/2026;manhã;08:18;08h;Portão;Portão;Água Verde;6,9;2,7;Média
23/03/2026;manhã;09:22;09h;Água Verde;Portão;Água Verde;6,7;1,3;Curta
23/03/2026;manhã;09:08;09h;Guaíra;Portão;Água Verde;6,6;2,7;Média
23/03/2026;manhã;09:29;09h;Água Verde;Portão;Água Verde;6,5;2,3;Média
23/03/2026;manhã;08:55;08h;Rebouças;Matriz;Parolin;6,5;1,5;Curta
24/03/2026;manhã;08:34;08h;Vila Izabel;Portão;Prado Velho;11,97;6,2;Longa
24/03/2026;manhã;07:36;07h;Água Verde;Portão;Guaíra;10,7;3,6;Média
24/03/2026;manhã;07:22;07h;Portão;Portão;Centro;10,4;1,9;Curta
24/03/2026;manhã;08:06;08h;Parolin;Portão;Santa Quitéria;8,2;3,6;Média
24/03/2026;manhã;08:21;08h;Água Verde;Portão;Prado Velho;8;2,7;Média
24/03/2026;manhã;07:53;07h;Prado Velho;Matriz;Água Verde;6,9;1,8;Curta
24/03/2026;manhã;07:31;07h;Guaíra;Portão;Rebouças;6,6;1,6;Curta
24/03/2026;manhã;09:05;09h;Rebouças;Matriz;Água Verde;6,6;2;Curta
24/03/2026;manhã;09:46;09h;Água Verde;Portão;Guaíra;6,5;2,7;Média
24/03/2026;manhã;09:57;09h;Água Verde;Portão;Água Verde;6,5;3,7;Média
24/03/2026;manhã;09:32;09h;Guaíra;Portão;Rebouças;6,5;2,3;Média
24/03/2026;manhã;09:00;09h;Rebouças;Matriz;Parolin;6,5;1,4;Curta
24/03/2026;manhã;09:26;09h;Rebouças;Matriz;Fanny;6,5;2,6;Média
25/03/2026;manhã;07:47;07h;Fanny;Portão;Rebouças;12,2;1,4;Curta
25/03/2026;manhã;08:18;08h;Água Verde;Portão;Água Verde;7,69;3,3;Média
25/03/2026;manhã;08:09;08h;Parolin;Portão;Guaíra;6,9;3,3;Média
25/03/2026;manhã;07:59;07h;Lindóia;Portão;Parolin;6,7;1,9;Curta
25/03/2026;manhã;08:37;08h;Rebouças;Matriz;Hauer;6,7;0,8;Curta
25/03/2026;manhã;08:41;08h;Centro;Matriz;Boqueirão;6,6;1,9;Curta
25/03/2026;manhã;10:00;10h;Hauer;Boqueirão;Fazendinha;6,6;1,8;Curta
26/03/2026;manhã;07:36;07h;Portão;Portão;Guaíra;17,2;4,8;Longa
26/03/2026;manhã;08:00;08h;Fazendinha;Portão;Água Verde;13,2;5,6;Longa
26/03/2026;manhã;07:27;07h;Lindóia;Portão;Rebouças;12,5;2,7;Média
26/03/2026;manhã;08:34;08h;Água Verde;Portão;Água Verde;7,6;3,3;Média
26/03/2026;manhã;09:54;09h;Portão;Portão;Fazendinha;7,3;3;Média
26/03/2026;manhã;07:53;07h;Fazendinha;Portão;Água Verde;7,2;0,8;Curta
26/03/2026;manhã;08:57;08h;Água Verde;Portão;Água Verde;7,1;3;Média
26/03/2026;manhã;09:14;09h;Água Verde;Portão;Portão;6,8;3;Média
26/03/2026;manhã;09:42;09h;Água Verde;Portão;Água Verde;6,6;3,8;Média
26/03/2026;manhã;08:21;08h;Água Verde;Portão;Água Verde;6,5;1,6;Curta
26/03/2026;manhã;08:28;08h;Água Verde;Portão;Rebouças;6,5;2;Curta
26/03/2026;manhã;09:33;09h;Água Verde;Portão;Parolin;6,5;1,9;Curta
27/03/2026;manhã;07:36;07h;Novo Mundo;Portão;Hauer;10,5;2,9;Média
27/03/2026;manhã;08:31;08h;Boqueirão;Boqueirão;Guabirotuba;10;4,6;Longa
27/03/2026;manhã;09:30;09h;Boqueirão;Boqueirão;Xaxim;9,4;4,7;Longa
27/03/2026;manhã;07:57;07h;Novo Mundo;Portão;Novo Mundo;9,4;4,4;Longa
27/03/2026;manhã;07:41;07h;Guaíra;Portão;Guaíra;8,1;1,8;Curta
27/03/2026;manhã;09:57;09h;Hauer;Boqueirão;Hauer;7,5;2,9;Média
27/03/2026;manhã;09:51;09h;Hauer;Boqueirão;Boqueirão;7,3;1,1;Curta
27/03/2026;manhã;08:46;08h;Hauer;Boqueirão;Novo Mundo;6,9;2,7;Média
27/03/2026;manhã;07:50;07h;Lindóia;Portão;Boqueirão;6,9;2;Curta
