cenario;seguro;manutencao;combustivel;ipva;valor_fipe;depreciacao_km_alto;depreciacao_km_alto_avaria;km_mes
ONIX;90;400;103,1666667;1770;59000;15;25;4400
ELETRICO;;;;;119000;10;18;4400
